"_time",host,User,Image,ParentImage,CommandLine,DestinationIp,"attack_type","detection_type"
"2025-05-30T15:25:16.253+0530",kali,"-",sshd,"-","Detected automated SSH session likely using sshpass, indicating possible lateral movement.","-","Automated SSH Session (sshpass)","Lateral Movement"
"2025-05-30T14:26:59.604+0530",kali,"-",sshd,"-","Detected automated SSH session likely using sshpass, indicating possible lateral movement.","-","Automated SSH Session (sshpass)","Lateral Movement"
"2025-05-30T14:26:49.712+0530",kali,"-",sshd,"-","Detected automated SSH session likely using sshpass, indicating possible lateral movement.","-","Automated SSH Session (sshpass)","Lateral Movement"
"2025-05-29T00:46:10.184+0530",kali,root,"/usr/bin/smbclient","-","smbclient -L 192.168.1.11 -N",,"SMBClient Probe","Lateral Movement"
"2025-05-29T00:00:31.818+0530",kali,root,"/usr/bin/smbclient","-","smbclient -L 192.168.1.11 -N",,"SMBClient Probe","Lateral Movement"
"2025-05-29T00:00:03.193+0530",kali,root,"/usr/lib/nmap/nmap","-","/usr/lib/nmap/nmap -p 139,445 --script smb-enum-shares 192.168.1.11",,"Nmap SMB Scan","Lateral Movement"
"2025-05-29T00:00:03.193+0530",kali,root,"/usr/bin/dash","-","sh /usr/bin/nmap -p 139,445 --script smb-enum-shares 192.168.1.11",,"Nmap SMB Scan","Lateral Movement"
"2025-05-29T00:00:03.193+0530",kali,root,"/usr/bin/env","-","/usr/bin/env sh /usr/bin/nmap -p 139,445 --script smb-enum-shares 192.168.1.11",,"Nmap SMB Scan","Lateral Movement"
"2025-05-28T23:57:05.603+0530",kali,root,"/usr/bin/perl","-","/usr/bin/perl ./enum4linux.pl -a 192.168.1.11 -u root -p kali",,"Enum4linux SMB Probe","Lateral Movement"
"2025-05-28T23:57:05.603+0530",kali,root,"/usr/bin/dash","-","sh /usr/bin/enum4linux -a 192.168.1.11 -u root -p kali",,"Enum4linux SMB Probe","Lateral Movement"
"2025-05-28T23:57:05.603+0530",kali,root,"/usr/bin/env","-","/usr/bin/env sh /usr/bin/enum4linux -a 192.168.1.11 -u root -p kali",,"Enum4linux SMB Probe","Lateral Movement"
"2025-05-28T23:55:59.197+0530",kali,root,"/usr/bin/perl","-","/usr/bin/perl ./enum4linux.pl -a 192.168.1.11",,"Enum4linux SMB Probe","Lateral Movement"
"2025-05-28T23:55:59.197+0530",kali,root,"/usr/bin/dash","-","sh /usr/bin/enum4linux -a 192.168.1.11",,"Enum4linux SMB Probe","Lateral Movement"
"2025-05-28T23:55:59.197+0530",kali,root,"/usr/bin/env","-","/usr/bin/env sh /usr/bin/enum4linux -a 192.168.1.11",,"Enum4linux SMB Probe","Lateral Movement"
