"_time",host,user,"new_user","_raw"
"2025-05-15T16:23:58.938+0530",kali,,,"2025-05-15T16:23:58.938449+05:30 kali usermod[378984]: add 'u1' to shadow group 'sudo'"
"2025-05-15T16:23:58.938+0530",kali,,,"2025-05-15T16:23:58.938035+05:30 kali usermod[378984]: add 'u1' to group 'sudo'"
"2025-05-15T16:23:58.916+0530",kali,,,"2025-05-15T16:23:58.916198+05:30 kali sudo:     root : TTY=pts/0 ; PWD=/root ; USER=root ; COMMAND=/usr/sbin/usermod -aG sudo u1"
"2025-05-15T16:23:48.986+0530",kali,,,"2025-05-15T16:23:48.986441+05:30 kali useradd[378879]: new user: name=u1, UID=1003, GID=1003, home=/home/u1, shell=/bin/bash, from=/dev/pts/1"
"2025-05-15T16:23:48.770+0530",kali,,,"2025-05-15T16:23:48.770498+05:30 kali sudo:     root : TTY=pts/0 ; PWD=/root ; USER=root ; COMMAND=/usr/sbin/adduser u1"
"2025-05-15T16:22:57.678+0530",kali,,,"2025-05-15T16:22:57.678367+05:30 kali usermod[378395]: add 'u1' to shadow group 'sudo'"
"2025-05-15T16:22:57.677+0530",kali,,,"2025-05-15T16:22:57.677316+05:30 kali usermod[378395]: add 'u1' to group 'sudo'"
"2025-05-15T16:22:57.649+0530",kali,,,"2025-05-15T16:22:57.649727+05:30 kali sudo:     root : TTY=pts/0 ; PWD=/root ; USER=root ; COMMAND=/usr/sbin/usermod -aG sudo u1"
"2025-05-15T16:22:47.808+0530",kali,,,"2025-05-15T16:22:47.808570+05:30 kali useradd[378288]: new user: name=u1, UID=1004, GID=1004, home=/home/u1, shell=/bin/bash, from=/dev/pts/1"
"2025-05-15T16:22:47.581+0530",kali,,,"2025-05-15T16:22:47.581406+05:30 kali sudo:     root : TTY=pts/0 ; PWD=/root ; USER=root ; COMMAND=/usr/sbin/adduser u1"
"2025-05-15T16:03:31.898+0530",kali,,,"2025-05-15T16:03:31.898240+05:30 kali usermod[368585]: add 'unknown' to shadow group 'sudo'"
"2025-05-15T16:03:31.897+0530",kali,,,"2025-05-15T16:03:31.897751+05:30 kali usermod[368585]: add 'unknown' to group 'sudo'"
